local	gen	bloco	np	bact	antfo	antva	manfo	manva	rend	mmg	def	dem
XA2ES	Avaluna	3	86	3	1	1	4	4	2167,66283524904	NA	NA	NA
XA2ES	Avaluna	4	80	3	1	1	3	1	2267,9374201788	NA	NA	NA
CH1ES	BRS Ametista	1	80	1	1	1	1	1	3677,63729246488	255,411494252874	36	95
CH1ES	BRS Ametista	2	75	1	1	1	1	1	4652,97892720307	261,698850574713	36	95
CH1ES	BRS Ametista	3	85	1	1	1	1	1	3912,83524904215	237,241379310345	36	95
CH1ES	BRS Ametista	4	93	1	1	1	1	1	3803,95593869732	265,694252873563	37	95
PS1ES	BRS Ametista	1	101	2	1	4	1	6	3706,35	242,60	NA	NA
PS1ES	BRS Ametista	2	82	4	1	2	4	4	3948,43	240,89	NA	NA
PS1ES	BRS Ametista	3	80	3	3	5	8	7	4110,34	236,36	NA	NA
PS1ES	BRS Ametista	4	77	3	1	3	5	7	3894,41	245,72	NA	NA
CA1ES	BRS Ametista	1	79	1	1	6	1	1	3049,02298850575	264,303448275862	40	98
CA1ES	BRS Ametista	2	76	2	1	1	1	1	2902,56704980843	250,703448275862	40	112
CA1ES	BRS Ametista	3	77	4	1	1	5	4	3413,9846743295	258,537931034483	41	98
CA1ES	BRS Ametista	4	65	3	1	1	5	3	2950,39591315453	275,44367816092	42	98
CN1ES	BRS Ametista	1	98	NA	NA	NA	NA	NA	4591,7496807152	263,245977011494	35	84
CN1ES	BRS Ametista	2	63	NA	NA	NA	NA	NA	3291,44316730524	235,241379310345	35	84
CN1ES	BRS Ametista	3	89	NA	NA	NA	NA	NA	3187,41698595147	255,413793103448	35	84
CN1ES	BRS Ametista	4	91	NA	NA	NA	NA	NA	3191,71775223499	251,889655172414	35	84
CH2ES	BRS Ametista	1	103	6	1	1	4	3	2460,31928480204	227,006896551724	28	82
CH2ES	BRS Ametista	2	104	4	1	1	4	2	3245,84929757344	235,733333333333	28	82
CH2ES	BRS Ametista	3	94	5	1	1	4	2	3356,32183908046	237,627586206897	29	82
CH2ES	BRS Ametista	4	86	3	1	1	3	4	2990,22988505747	243,172413793103	28	82
IT2ES	BRS Ametista	1	78	NA	1	NA	6	3	2227,8	197,4	36	88
IT2ES	BRS Ametista	2	75	NA	1	NA	7	5	2539,2	211,5	37	85
IT2ES	BRS Ametista	3	66	NA	1	NA	6	2	3237,7	232,5	38	93
IT2ES	BRS Ametista	4	77	NA	1	NA	7	3	3503,9	220,0	38	91
UR2ES	BRS Ametista	1	65	1	1	1	5	5	1907,10	NA	41	94
UR2ES	BRS Ametista	2	54	1	1	1	6	4	2036,63	NA	41	94
UR2ES	BRS Ametista	3	53	1	1	1	6	5	2417,78	NA	41	94
UR2ES	BRS Ametista	4	77	1	1	1	5	5	2810,00	NA	41	89
XA2ES	BRS Ametista	1	50	2	5	5	4	4	2869,72860791826	NA	NA	NA
XA2ES	BRS Ametista	2	85	4	1	4	4	4	3566,6091954023	NA	NA	NA
XA2ES	BRS Ametista	3	83	4	2	6	4	7	2424,48275862069	NA	NA	NA
XA2ES	BRS Ametista	4	56	3	5	5	3	2	1848,27586206897	NA	NA	NA
CH1ES	BRS Campeiro	1	87	1	1	1	1	1	3789,8275862069	247,701149425287	37	95
CH1ES	BRS Campeiro	2	69	3	1	1	1	1	4478,75798212005	246,83908045977	39	95
CH1ES	BRS Campeiro	3	84	1	1	1	1	1	3897,31481481482	250,788505747126	37	95
CH1ES	BRS Campeiro	4	87	1	1	1	1	1	3149,45402298851	236,085057471264	36	95
PS1ES	BRS Campeiro	1	81	4	4	7	4	5	4589,43	229,47	NA	NA
PS1ES	BRS Campeiro	2	88	5	4	7	3	5	4179,75	242,21	NA	NA
PS1ES	BRS Campeiro	3	80	4	1	1	6	7	3930,06	236,63	NA	NA
PS1ES	BRS Campeiro	4	88	5	2	7	6	7	5403,68	235,61	NA	NA
CA1ES	BRS Campeiro	1	72	4	5	7	1	1	3758,55683269476	243,935632183908	42	94
CA1ES	BRS Campeiro	2	77	1	1	4	1	1	3700,12132822478	237,549425287356	42	94
CA1ES	BRS Campeiro	3	77	4	1	6	4	1	3165,07024265645	212,032183908046	42	98
CA1ES	BRS Campeiro	4	71	3	1	1	4	4	2250,18518518518	239,733333333333	42	94
CN1ES	BRS Campeiro	1	86	NA	NA	NA	NA	NA	3773,5472541507	226,264367816092	38	84
CN1ES	BRS Campeiro	2	93	NA	NA	NA	NA	NA	3768,70051085568	236,351724137931	37	84
CN1ES	BRS Campeiro	3	90	NA	NA	NA	NA	NA	3172,99808429119	221,489655172414	37	84
CN1ES	BRS Campeiro	4	91	NA	NA	NA	NA	NA	3675,86206896552	224,32183908046	38	84
CH2ES	BRS Campeiro	1	94	3	1	1	3	4	3188,41954022988	216,131034482759	30	87
CH2ES	BRS Campeiro	2	98	4	1	1	3	3	2842,98531289911	224,593103448276	30	93
CH2ES	BRS Campeiro	3	85	6	1	1	5	4	2749,77011494253	215,875862068965	30	82
CH2ES	BRS Campeiro	4	83	5	1	1	4	4	2489,46998722861	215,954022988506	29	87
IT2ES	BRS Campeiro	1	78	NA	1	NA	7	5	2203,9	174,0	38	83
IT2ES	BRS Campeiro	2	78	NA	1	NA	6	4	1470,5	191,0	37	87
IT2ES	BRS Campeiro	3	71	NA	1	NA	7	3	2045,4	190,9	38	93
IT2ES	BRS Campeiro	4	79	NA	1	NA	7	3	2047,4	182,9	38	93
UR2ES	BRS Campeiro	1	76	1	1	1	7	6	2345,57	NA	41	86
UR2ES	BRS Campeiro	2	48	1	1	1	7	6	2471,46	NA	41	94
UR2ES	BRS Campeiro	3	51	1	1	1	6	5	2435,69	NA	41	94
UR2ES	BRS Campeiro	4	55	1	1	1	6	5	1968,26	NA	41	89
XA2ES	BRS Campeiro	1	76	3	1	1	3	5	3334,54980842912	NA	NA	NA
XA2ES	BRS Campeiro	2	78	3	2	1	3	3	2190,13409961686	NA	NA	NA
XA2ES	BRS Campeiro	3	76	2	2	7	3	3	2225	NA	NA	NA
XA2ES	BRS Campeiro	4	68	3	1	1	3	1	2102,57343550447	NA	NA	NA
CH1ES	BRS Esplendor	1	84	1	1	1	1	1	4191,00574712644	218,229885057471	42	95
CH1ES	BRS Esplendor	2	72	1	1	1	1	1	2629,78927203065	223,227586206897	42	95
CH1ES	BRS Esplendor	3	99	1	1	1	1	1	3659,92337164751	226,827586206897	37	95
CH1ES	BRS Esplendor	4	99	1	1	1	1	1	4034,77650063857	225,903448275862	40	95
PS1ES	BRS Esplendor	1	74	3	4	6	2	4	4590,12	217,24	NA	NA
PS1ES	BRS Esplendor	2	87	2	3	1	3	5	3526,58	215,97	NA	NA
PS1ES	BRS Esplendor	3	77	2	1	1	7	8	4649,81	216,39	NA	NA
PS1ES	BRS Esplendor	4	85	2	1	2	4	6	4101,93	214,25	NA	NA
CA1ES	BRS Esplendor	1	72	1	1	1	1	3	3194,89463601533	228,675862068965	43	94
CA1ES	BRS Esplendor	2	84	1	1	1	1	1	3846,75606641124	223,733333333333	43	94
CA1ES	BRS Esplendor	3	77	1	1	1	3	4	3581,03448275862	225,124137931034	43	94
CA1ES	BRS Esplendor	4	71	2	1	1	5	4	3906,94444444444	233,933333333333	42	94
CN1ES	BRS Esplendor	1	73	NA	NA	NA	NA	NA	3196,83908045977	237,537931034483	39	84
CN1ES	BRS Esplendor	2	69	NA	NA	NA	NA	NA	2868,45466155811	229,885057471264	38	84
CN1ES	BRS Esplendor	3	81	NA	NA	NA	NA	NA	2809,70625798212	233,563218390805	38	84
CN1ES	BRS Esplendor	4	68	NA	NA	NA	NA	NA	2290,35759897829	226,050574712644	38	84
CH2ES	BRS Esplendor	1	94	4	1	1	2	3	2276,20689655172	205,848275862069	30	82
CH2ES	BRS Esplendor	2	97	4	1	1	5	3	2782,87356321839	211,531034482759	32	87
CH2ES	BRS Esplendor	3	101	4	1	1	4	3	2817,24137931034	215,494252873563	30	82
CH2ES	BRS Esplendor	4	95	3	1	1	3	2	2915,86206896552	222,455172413793	31	82
IT2ES	BRS Esplendor	1	78	NA	1	NA	7	5	1829,7	157,5	38	84
IT2ES	BRS Esplendor	2	77	NA	1	NA	6	3	2942,1	177,7	37	84
IT2ES	BRS Esplendor	3	75	NA	1	NA	7	2	2179,9	180,2	38	93
IT2ES	BRS Esplendor	4	78	NA	1	NA	5	3	2187,7	163,5	38	93
UR2ES	BRS Esplendor	1	62	1	1	1	6	6	2086,97	NA	41	94
UR2ES	BRS Esplendor	2	57	1	1	1	6	4	2337,68	NA	41	94
UR2ES	BRS Esplendor	3	78	1	1	1	1	4	4132,23	NA	41	89
UR2ES	BRS Esplendor	4	38	1	1	1	5	5	2167,82	NA	41	94
XA2ES	BRS Esplendor	1	82	3	1	1	3	3	3111,74010217114	NA	NA	NA
XA2ES	BRS Esplendor	2	87	2	1	1	5	5	3043,13218390805	NA	NA	NA
XA2ES	BRS Esplendor	3	86	3	1	1	4	2	2290,29374201788	NA	NA	NA
XA2ES	BRS Esplendor	4	96	4	3	1	3	2	2619,96487867178	NA	NA	NA
CH1ES	BRS Esteio	1	100	1	1	1	1	1	3634,2337164751	231,579310344828	40	95
CH1ES	BRS Esteio	2	71	1	1	1	1	1	3898,02681992337	251,772413793103	41	95
CH1ES	BRS Esteio	3	94	1	1	1	1	1	3742,10727969349	248,524137931034	41	95
CH1ES	BRS Esteio	4	103	1	1	1	1	1	4093,00766283525	238,620689655172	40	95
PS1ES	BRS Esteio	1	65	5	3	4	3	5	3827,04	242,83	NA	NA
PS1ES	BRS Esteio	2	64	7	1	1	1	1	3406,49	232,92	NA	NA
PS1ES	BRS Esteio	3	80	7	2	3	5	6	5595,44	241,44	NA	NA
PS1ES	BRS Esteio	4	76	5	1	3	3	4	4465,34	236,81	NA	NA
CA1ES	BRS Esteio	1	85	3	1	1	1	1	4710,62579821201	258,55632183908	43	94
CA1ES	BRS Esteio	2	78	2	1	2	3	1	3782,98850574713	251,365517241379	43	94
CA1ES	BRS Esteio	3	72	5	1	1	1	4	4330,34482758621	234,124137931034	43	94
CA1ES	BRS Esteio	4	74	4	1	1	3	3	3760,77905491699	225,963218390805	43	94
CN1ES	BRS Esteio	1	79	NA	NA	NA	NA	NA	3806,21966794381	258,986206896552	39	84
CN1ES	BRS Esteio	2	92	NA	NA	NA	NA	NA	3694,20178799489	240,229885057471	39	84
CN1ES	BRS Esteio	3	86	NA	NA	NA	NA	NA	2585,04150702427	239,163218390805	38	84
CN1ES	BRS Esteio	4	92	NA	NA	NA	NA	NA	2920,26819923372	252,468965517241	38	84
CH2ES	BRS Esteio	1	82	5	1	1	3	4	2984,09961685824	228,404597701149	29	93
CH2ES	BRS Esteio	2	76	3	1	1	3	3	3018,74840357599	243,719540229885	32	93
CH2ES	BRS Esteio	3	75	5	1	1	5	3	2556,64750957854	232,275862068965	30	87
CH2ES	BRS Esteio	4	92	4	1	1	3	3	3184,03575989783	234,170114942529	29	87
IT2ES	BRS Esteio	1	77	NA	1	NA	7	5	2858,1	189,0	36	84
IT2ES	BRS Esteio	2	73	NA	1	NA	6	5	2687,7	195,9	37	86
IT2ES	BRS Esteio	3	52	NA	1	NA	4	4	2339,2	187,1	38	101
IT2ES	BRS Esteio	4	73	NA	1	NA	7	4	2347,0	183,4	38	91
UR2ES	BRS Esteio	1	70	1	1	1	7	7	2317,24	NA	41	94
UR2ES	BRS Esteio	2	51	1	1	1	6	4	3143,60	NA	41	96
UR2ES	BRS Esteio	3	42	1	1	1	5	5	2877,78	NA	41	94
UR2ES	BRS Esteio	4	46	1	1	1	6	4	2514,57	NA	41	94
XA2ES	BRS Esteio	1	86	4	1	1	2	1	3150,11494252874	NA	NA	NA
XA2ES	BRS Esteio	2	58	2	1	1	3	1	3133,99744572158	NA	NA	NA
XA2ES	BRS Esteio	3	76	2	2	2	3	2	2752,57982120051	NA	NA	NA
XA2ES	BRS Esteio	4	50	3	3	3	4	2	2180,30651340996	NA	NA	NA
CH1ES	BRS Estilo	1	82	1	1	1	1	1	3366,65070242656	252,540229885057	42	95
CH1ES	BRS Estilo	2	100	1	1	1	1	1	4202,77777777778	272,114942528736	43	95
CH1ES	BRS Estilo	3	94	1	1	1	1	1	3733,06513409962	267,383908045977	41	95
CH1ES	BRS Estilo	4	100	1	1	1	1	1	3599,92337164751	261,572413793103	41	95
PS1ES	BRS Estilo	1	84	4	1	2	4	4	4466,67	258,00	NA	NA
PS1ES	BRS Estilo	2	97	5	1	1	3	4	4925,32	257,18	NA	NA
PS1ES	BRS Estilo	3	89	5	1	1	4	4	4841,38	260,19	NA	NA
PS1ES	BRS Estilo	4	80	6	1	1	3	5	3748,14	257,11	NA	NA
CA1ES	BRS Estilo	1	73	6	1	1	1	1	3080,00319284802	264,611494252874	43	98
CA1ES	BRS Estilo	2	74	2	1	1	1	1	3477,02426564496	261,195402298851	42	112
CA1ES	BRS Estilo	3	69	4	1	1	3	1	3200,84929757344	263,554022988506	42	98
CA1ES	BRS Estilo	4	69	2	1	1	4	3	3606,03448275862	268,386206896552	42	94
CN1ES	BRS Estilo	1	81	NA	NA	NA	NA	NA	1758,42911877395	272,110344827586	37	84
CN1ES	BRS Estilo	2	79	NA	NA	NA	NA	NA	1520,65134099617	262,455172413793	36	84
CN1ES	BRS Estilo	3	83	NA	NA	NA	NA	NA	2061,99233716475	274,206896551724	36	84
CN1ES	BRS Estilo	4	92	NA	NA	NA	NA	NA	1855,24904214559	260,496551724138	36	84
CH2ES	BRS Estilo	1	93	7	1	1	5	3	2306,81992337165	231,981609195402	32	87
CH2ES	BRS Estilo	2	104	7	1	1	5	4	2655,41187739464	247,075862068966	33	82
CH2ES	BRS Estilo	3	98	7	1	1	4	3	2474,687100894	235,880459770115	31	87
CH2ES	BRS Estilo	4	97	7	1	1	4	4	2391,69220945083	235,811494252874	32	82
IT2ES	BRS Estilo	1	74	NA	1	NA	6	4	2129,5	260,7	37	87
