"","local","rep","block","gen","ap","ae","acam","prolif","dec","prod"
"100",1,1,9,284,244.6,142.2,1,0,0,7710.56034482759
"101",1,1,9,279,259.4,150.6,0,1,0,6704.78448275862
"102",1,1,9,241,239.8,150,0,0,1,7398.85057471264
"103",1,1,9,265,273.4,156.8,0,1,0,9870
"104",1,1,9,312,264.8,148.2,0,0,1,8530.80459770115
"105",1,1,9,328,242.4,133.4,0,0,2,7308.10344827586
"106",1,1,9,254,282,159,0,0,0,8021.25
"107",1,1,9,223,263.2,140.6,1,0,1,7260
"108",1,1,9,293,266.8,157.4,1,0,1,9403.40517241379
"109",1,1,10,344,240,139,0,1,3,10743.4051724138
"110",1,1,10,307,256.2,138.4,0,0,1,6427.72988505747
"111",1,1,10,303,274.4,144,3,1,1,7939.33908045977
"112",1,1,10,222,245.6,140.2,0,1,0,6584.41091954023
"113",1,1,10,336,266.2,152.8,0,0,2,9634.88505747126
"114",1,1,10,287,272.2,150.6,0,0,3,8848.96551724138
"115",1,1,10,298,256.6,138.2,0,0,1,7279.94252873563
"116",1,1,10,292,242.4,130.8,3,1,0,4951.63793103448
"117",1,1,10,242,241.2,131.8,0,0,1,6559.91379310345
"118",1,1,10,315,245,127.8,0,0,1,7124.48275862069
"119",1,1,10,280,226.8,129.4,0,0,4,5906.16379310345
"120",1,1,10,340,240,130.4,1,1,0,7877.01149425287
"121",1,1,11,282,244.6,122.6,0,0,1,6925.1724137931
"122",1,1,11,338,209.8,117.8,3,1,3,4974.18103448276
"123",1,1,11,321,237.8,131,0,0,3,7861.29310344828
"124",1,1,11,214,245,132.6,1,0,1,6674.39655172414
"125",1,1,11,238,232.2,129,0,0,1,7089.38218390805
"126",1,1,11,235,253,134.2,0,0,1,7625.97701149425
"127",1,1,11,290,250.8,144.4,0,0,0,6013.5632183908
"128",1,1,11,332,246.2,149,0,1,0,8042.87356321839
"129",1,1,11,333,256.2,147.4,0,1,0,5919.66954022989
"130",1,1,11,227,262.4,150.4,1,1,0,8518.62068965517
"131",1,1,11,248,270.4,141.2,1,0,0,7027.35632183908
"132",1,1,11,264,255.4,144.4,1,0,0,6073.44827586207
"133",1,1,12,257,241.8,148,0,0,2,8068.96551724138
"134",1,1,12,230,258.4,141,0,0,0,7534.95689655172
"135",1,1,12,233,246,148.6,1,1,3,8302.1408045977
"136",1,1,12,322,268.6,153.2,1,0,0,7236.99712643678
"137",1,1,12,201,242.4,145.4,0,0,0,4342.62931034483
"138",1,1,12,281,240,144.6,0,1,1,7720.11494252874
"139",1,1,12,246,245,133,1,0,0,5084.13793103448
"140",1,1,12,247,252,135.8,0,0,2,5736.06321839081
"141",1,1,12,289,232.6,129.4,0,0,0,5546.49425287356
"142",1,1,12,243,252.4,133.8,1,1,0,6748.18965517241
